hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight,x,y,z,volume_id,layer_id,module_id
44,238694559821856768,-62.8281,-15.2251,-1498.0,-0.428516,-0.0839786,-10.125,6.45466e-06,-62.8231,-15.211,-1498.0,7,2,4
45,616995416692490240,-67.9262,-9.27885,-1498.0,-0.425687,-0.0788398,-9.49366,6.19367e-06,-67.9302,-9.28966,-1498.0,7,2,4
46,860196324920786944,-68.6967,-17.5014,-1498.0,-0.841248,-0.237015,-18.624,1.12623e-05,-68.68,-17.4913,-1498.0,7,2,4
47,157629835248664576,-86.0038,-25.0178,-1498.0,-0.267794,-0.105245,-4.89338,6.96788e-06,-86.0223,-25.0119,-1498.0,7,2,4
48,954766419537428480,-63.6572,-10.8484,-1498.0,-0.669784,-0.0938634,-15.5412,9.6808e-06,-63.679,-10.8401,-1498.0,7,2,4
49,0,-108.177,-20.438,-1502.0,-484376.0,-559731.0,-672370.0,0.0,-108.177,-20.438,-1502.0,7,2,5
50,445865090483224576,-110.168,-21.2593,-1502.0,-0.315759,-0.093085,-4.44206,7.47422e-06,-110.18,-21.2656,-1502.0,7,2,5
51,103589732096671744,-151.286,-30.1044,-1502.0,-0.603475,-0.0751224,-5.91158,5.9822e-06,-151.273,-30.1087,-1502.0,7,2,5
52,671041292280528896,-116.431,-30.6238,-1502.0,-0.89222,-0.200463,-11.3282,1.34723e-05,-116.417,-30.6427,-1502.0,7,2,5
53,927744615614775296,-153.124,-32.9161,-1502.0,-0.273071,-0.00939891,-2.53417,5.03236e-06,-153.128,-32.9079,-1502.0,7,2,5
54,139619285029879808,-104.234,-16.0387,-1502.0,-0.189538,-0.055572,-2.81615,7.47422e-06,-104.255,-16.0197,-1502.0,7,2,5
55,171140359252869120,-137.637,-29.0575,-1502.0,-0.223771,-0.112947,-2.2608,4.88237e-06,-137.648,-29.0615,-1502.0,7,2,5
56,616995347973013504,-143.973,-29.9322,-1502.0,-0.308785,-0.0184546,-3.14067,3.48394e-06,-143.974,-29.933,-1502.0,7,2,5
57,495403861750579200,-108.57,-29.037,-1502.0,-0.870665,-0.286863,-12.0564,1.35871e-05,-108.58,-29.0562,-1502.0,7,2,5
58,549440803806642176,-112.283,-30.5447,-1502.0,-0.321427,-0.123352,-4.49766,8.87338e-06,-112.28,-30.5429,-1502.0,7,2,5
59,63068055688708096,-103.821,-24.5857,-1502.0,-0.587912,-0.172714,-8.65658,9.64892e-06,-103.805,-24.5946,-1502.0,7,2,5
60,932245878779936768,-65.3996,-26.0933,-1502.0,-0.464568,-0.20981,-10.9736,6.60728e-06,-65.4095,-26.0923,-1502.0,7,2,6
61,558454600131149824,-70.2243,-36.0388,-1502.0,-0.422291,-0.244502,-9.30342,5.67915e-06,-70.2361,-36.0471,-1502.0,7,2,6
62,396317454403371008,-77.8808,-32.3577,-1502.0,-1.72225,-0.741116,-33.5642,2.07145e-05,-77.8816,-32.3408,-1502.0,7,2,6
63,67555162641661952,-72.83,-27.4158,-1502.0,-1.91583,-0.697352,-39.3421,2.08861e-05,-72.8297,-27.434,-1502.0,7,2,6
64,63068124408184832,-80.2736,-37.7481,-1502.0,-0.714417,-0.304471,-13.093,9.29664e-06,-80.2594,-37.7635,-1502.0,7,2,6
65,27031974405210112,-83.364,-28.5073,-1502.0,-0.487237,-0.195468,-8.87016,6.66342e-06,-83.3511,-28.4908,-1502.0,7,2,6
66,184651982768701440,-70.8636,-31.5593,-1502.0,-0.555199,-0.262449,-11.7816,7.12439e-06,-70.8806,-31.5515,-1502.0,7,2,6
67,707069195946295296,-50.9783,-28.8537,-1502.0,-0.415409,-0.211134,-11.9064,6.96788e-06,-50.9999,-28.8369,-1502.0,7,2,6
68,18017078569074688,-75.3823,-32.2837,-1502.0,-0.376806,-0.188799,-7.75655,6.96788e-06,-75.3879,-32.282,-1502.0,7,2,6
69,810658172128722944,-77.4491,-25.5124,-1502.0,-0.229708,-0.0491963,-4.24202,5.36785e-06,-77.4622,-25.5104,-1502.0,7,2,6
70,337777256317321216,-66.8354,-34.5328,-1502.0,-1.11433,-0.606679,-25.5119,1.44142e-05,-66.8445,-34.534,-1502.0,7,2,6
71,801649667203923968,-62.6204,-24.9413,-1502.0,-0.376057,-0.168404,-9.3156,6.45466e-06,-62.6033,-24.9299,-1502.0,7,2,6
72,153138742566060032,-57.7057,-32.7395,-1502.0,-0.147237,-0.107768,-4.1163,6.96788e-06,-57.7177,-32.756,-1502.0,7,2,6
73,63059946790453248,-59.7528,-24.9753,-1502.0,-0.488514,-0.223493,-12.4519,7.93953e-06,-59.7462,-24.9912,-1502.0,7,2,6
74,63055754902372352,-90.9773,-33.5516,-1502.0,-0.179569,-0.0311362,-2.83158,8.13311e-06,-90.9964,-33.5518,-1502.0,7,2,6
75,220681604421386240,-67.8059,-37.0913,-1502.0,-0.30806,-0.140799,-6.53697,5.36785e-06,-67.7941,-37.0921,-1502.0,7,2,6
76,495397814436626432,-85.7614,-42.4418,-1502.0,-0.767096,-0.347868,-13.2521,1.08266e-05,-85.7707,-42.4276,-1502.0,7,2,6
77,526921637438685184,-101.019,-34.0052,-1498.0,-0.377867,-0.16083,-5.74783,8.13311e-06,-101.029,-33.9935,-1498.0,7,2,7
78,909728499118374912,-134.449,-53.4929,-1498.0,-0.218351,-0.039375,-2.22607,3.02482e-06,-134.448,-53.4735,-1498.0,7,2,7
79,495403861750579200,-108.281,-28.9415,-1498.0,-0.870654,-0.288526,-12.0576,1.17755e-05,-108.27,-28.932,-1498.0,7,2,7
80,229685436421767168,-155.635,-47.2355,-1498.0,-0.441685,-0.183373,-4.42441,3.55834e-06,-155.642,-47.2353,-1498.0,7,2,7
81,0,-122.229,-39.9046,-1498.0,-348771.0,134342.0,-927529.0,0.0,-122.233,-39.9073,-1498.0,7,2,7
82,671041292280528896,-116.116,-30.5526,-1498.0,-0.891936,-0.201884,-11.3287,1.1676e-05,-116.115,-30.5594,-1498.0,7,2,7
83,94579303026524160,-127.499,-43.7069,-1498.0,-0.478564,-0.206238,-5.8601,6.46258e-06,-127.51,-43.7126,-1498.0,7,2,7
84,112599336533098496,-119.433,-37.9558,-1498.0,-0.352401,-0.0711508,-4.28798,7.55881e-06,-119.423,-37.9437,-1498.0,7,2,7
85,734096841024471040,-141.855,-51.6835,-1498.0,-0.950462,-0.300114,-9.84851,9.02315e-06,-141.865,-51.6879,-1498.0,7,2,7
86,855686265662603264,-149.342,-54.1656,-1498.0,-0.46398,-0.215376,-4.88107,5.26388e-06,-149.351,-54.1444,-1498.0,7,2,7
87,549440803806642176,-111.997,-30.4351,-1498.0,-0.323552,-0.12301,-4.50251,7.55881e-06,-111.987,-30.4416,-1498.0,7,2,7
88,734105568398016512,-99.6609,-40.7053,-1498.0,-0.270406,-0.142133,-4.27705,6.56826e-06,-99.6592,-40.706,-1498.0,7,2,7
89,225183829659222016,-94.0383,-48.4485,-1502.0,-1.35628,-0.737058,-21.8223,1.72388e-05,-94.0503,-48.4414,-1502.0,7,2,8
90,860191583276892160,-157.851,-67.3031,-1502.0,-0.199598,-0.137692,-2.10047,3.5968e-06,-157.843,-67.3169,-1502.0,7,2,8
91,418835864857083904,-131.726,-63.8832,-1502.0,-0.437096,-0.264174,-5.24546,5.17644e-06,-131.734,-63.878,-1502.0,7,2,8
92,711571970939944960,-109.616,-48.6842,-1502.0,-1.16344,-0.561994,-16.135,2.23307e-05,-109.616,-48.7006,-1502.0,7,2,8
93,801645062998982656,-133.845,-54.5192,-1502.0,-0.480446,-0.240787,-5.6052,5.35821e-06,-133.848,-54.536,-1502.0,7,2,8
94,968291374631747584,-135.808,-68.6812,-1502.0,-0.127633,-0.114645,-1.64894,3.60097e-06,-135.804,-68.6812,-1502.0,7,2,8
95,707069333385248768,-102.277,-47.9044,-1502.0,-0.303061,-0.104085,-4.2517,6.96788e-06,-102.275,-47.9188,-1502.0,7,2,8
96,0,-120.169,-46.1821,-1502.0,510661.0,171042.0,-842597.0,0.0,-120.16,-46.1954,-1502.0,7,2,8
97,909728499118374912,-134.841,-53.5629,-1502.0,-0.216423,-0.0379552,-2.22575,3.60097e-06,-134.837,-53.5512,-1502.0,7,2,8
98,396317316964417536,-135.121,-59.7508,-1502.0,-0.427411,-0.239803,-4.96258,5.15097e-06,-135.116,-59.7416,-1502.0,7,2,8
99,157627911103315968,-135.069,-66.2965,-1502.0,-0.908705,-0.395255,-9.91174,8.21003e-06,-135.067,-66.2789,-1502.0,7,2,8
100,153123349403271168,-115.055,-48.653,-1502.0,-0.927506,-0.349203,-11.9103,1.34902e-05,-115.053,-48.6418,-1502.0,7,2,8
101,734105568398016512,-99.9128,-40.8378,-1502.0,-0.268453,-0.140983,-4.27672,7.47422e-06,-99.9165,-40.8654,-1502.0,7,2,8
102,166645212121137152,-99.557,-52.4959,-1502.0,-0.235711,-0.160047,-3.85762,6.04963e-06,-99.5651,-52.5161,-1502.0,7,2,8
103,657534066811207680,-148.0,-69.4806,-1502.0,-0.482439,-0.174106,-4.64034,4.66651e-06,-148.006,-69.4775,-1502.0,7,2,8
104,558454600131149824,-70.0203,-35.9204,-1497.5,-0.421392,-0.244724,-9.30402,5.17434e-06,-70.0195,-35.9004,-1497.5,7,2,9
105,418835727418130432,-50.1964,-37.6878,-1497.5,-0.335401,-0.276381,-10.3776,7.04869e-06,-50.1809,-37.6999,-1497.5,7,2,9
106,324262059388698624,-62.4658,-42.9923,-1497.5,-0.38448,-0.296736,-9.57248,4.92053e-06,-62.4462,-42.9877,-1497.5,7,2,9
107,878209761357594624,-85.8024,-45.6608,-1497.5,-0.356674,-0.153499,-5.94191,7.47422e-06,-85.8023,-45.6716,-1497.5,7,2,9
108,292738373825593344,-79.6543,-57.4694,-1497.5,-0.687695,-0.529604,-13.3292,9.19006e-06,-79.6475,-57.4577,-1497.5,7,2,9
109,968279005125935104,-62.1702,-36.0413,-1497.5,-0.439909,-0.226753,-10.2632,6.96788e-06,-62.1656,-36.0134,-1497.5,7,2,9
110,337777256317321216,-66.6385,-34.4261,-1497.5,-1.1173,-0.603279,-25.5127,1.29358e-05,-66.6408,-34.4163,-1497.5,7,2,9
111,396317385683894272,-51.4633,-35.7064,-1497.5,-1.0038,-0.668684,-28.8959,1.50023e-05,-51.4567,-35.7256,-1497.5,7,2,9
112,0,-60.0871,-45.6593,-1497.5,-551643.0,-197642.0,-810325.0,0.0,-60.0904,-45.6578,-1497.5,7,2,9
113,671056548004364288,-60.4268,-38.2476,-1497.5,-0.15897,-0.0730666,-3.64825,7.47422e-06,-60.4187,-38.2268,-1497.5,7,2,9
114,779123010413002752,-74.813,-42.1785,-1497.5,-0.325838,-0.159249,-6.27887,6.04963e-06,-74.8133,-42.1806,-1497.5,7,2,9
115,707069195946295296,-50.8213,-28.7739,-1497.5,-0.415159,-0.211132,-11.907,6.19367e-06,-50.8336,-28.7759,-1497.5,7,2,9
116,707073044236992512,-47.8949,-35.2954,-1497.5,-0.291344,-0.238776,-9.56549,7.04869e-06,-47.8912,-35.2999,-1497.5,7,2,9
117,220686071187374080,-71.2427,-45.4142,-1497.5,-0.296767,-0.219415,-6.53043,6.45466e-06,-71.2588,-45.3973,-1497.5,7,2,9
118,220681604421386240,-67.5928,-36.9946,-1497.5,-0.309916,-0.140766,-6.53772,4.92053e-06,-67.5782,-36.9846,-1497.5,7,2,9
119,153138742566060032,-57.5432,-32.622,-1497.5,-0.149351,-0.107095,-4.11689,6.19367e-06,-57.5454,-32.5957,-1497.5,7,2,9
120,0,-36.3521,-13.1157,-1497.5,-554127.0,95545.4,-826931.0,0.0,-36.349,-13.1163,-1497.5,7,2,9
121,954766625695858688,-75.4406,-47.9269,-1497.5,-1.11351,-0.741974,-22.2083,1.62658e-05,-75.4575,-47.9117,-1497.5,7,2,9
122,90075978277060608,-84.4952,-51.066,-1497.5,-0.529931,-0.353196,-9.7943,9.97518e-06,-84.4901,-51.0426,-1497.5,7,2,9
123,671038268623552512,-63.1572,-46.31,-1497.5,-0.323637,-0.272968,-8.08006,5.17434e-06,-63.1787,-46.31,-1497.5,7,2,9
124,225183829659222016,-93.7899,-48.3135,-1498.0,-1.35431,-0.735675,-21.8229,1.54707e-05,-93.7765,-48.3127,-1498.0,7,2,10
125,801657844821655552,-120.118,-70.9844,-1498.0,-0.280988,-0.218955,-3.82471,7.04869e-06,-120.101,-70.9878,-1498.0,7,2,10
126,707069333385248768,-101.992,-47.8066,-1498.0,-0.302882,-0.10389,-4.25411,6.19367e-06,-101.986,-47.7918,-1498.0,7,2,10
127,968291374631747584,-135.499,-68.4054,-1498.0,-0.127284,-0.112959,-1.64958,3.02482e-06,-135.509,-68.4096,-1498.0,7,2,10
128,157627911103315968,-134.703,-66.1366,-1498.0,-0.906424,-0.396937,-9.91248,6.41057e-06,-134.715,-66.1359,-1498.0,7,2,10
129,707072975517515776,-96.5212,-52.0511,-1498.0,-0.818093,-0.473015,-12.855,1.2764e-05,-96.5132,-52.0691,-1498.0,7,2,10
130,418835864857083904,-131.393,-63.6816,-1498.0,-0.438366,-0.264485,-5.246,4.50851e-06,-131.395,-63.6573,-1498.0,7,2,10
131,166645212121137152,-99.3113,-52.3301,-1498.0,-0.237429,-0.159852,-3.85804,5.47348e-06,-99.3333,-52.3235,-1498.0,7,2,10
132,693555373407207424,-107.123,-62.0121,-1498.0,-0.129078,-0.120422,-2.09996,8.87338e-06,-107.138,-62.0084,-1498.0,7,2,10
133,752103268074651648,-114.907,-62.6014,-1498.0,-0.5736,-0.269628,-7.18622,9.14066e-06,-114.918,-62.6066,-1498.0,7,2,10
134,968285258598318080,-127.574,-70.641,-1498.0,-0.273645,-0.20029,-3.45682,3.55834e-06,-127.576,-70.63,-1498.0,7,2,10
135,432346938617102336,-123.217,-77.99,-1498.0,-0.785042,-0.554479,-9.93132,6.04476e-06,-123.219,-77.99,-1498.0,7,2,10
136,99081184666976256,-150.89,-83.1702,-1498.0,-0.206716,-0.173964,-2.3789,6.56826e-06,-150.898,-83.1625,-1498.0,7,2,10
137,0,-131.354,-98.5764,-1502.0,153028.0,246426.0,-957004.0,0.0,-131.354,-98.5751,-1502.0,7,2,11
138,657543481379520512,-121.725,-84.7471,-1502.0,-0.262473,-0.233379,-3.43806,3.73711e-06,-121.717,-84.7419,-1502.0,7,2,11
139,734105499678539776,-87.1858,-64.5459,-1502.0,-0.290612,-0.170742,-4.66403,6.96788e-06,-87.1962,-64.549,-1502.0,7,2,11
140,716074608494641152,-92.8167,-71.3876,-1502.0,-0.195752,-0.0997765,-2.72606,8.13311e-06,-92.8189,-71.3704,-1502.0,7,2,11
141,734116288636387328,-144.707,-94.822,-1502.0,-0.147373,-0.0642782,-1.26125,5.45443e-06,-144.718,-94.8167,-1502.0,7,2,11
142,355786775743954944,-118.13,-85.7886,-1502.0,-0.339013,-0.188832,-3.99616,5.15097e-06,-118.121,-85.7934,-1502.0,7,2,11
143,63053899476500480,-119.899,-88.5598,-1502.0,-1.41368,-0.989036,-17.3448,1.48656e-05,-119.892,-88.5825,-1502.0,7,2,11
144,432346938617102336,-123.533,-78.2133,-1502.0,-0.783892,-0.554241,-9.93096,8.73132e-06,-123.516,-78.2163,-1502.0,7,2,11
145,801650629276598272,-120.009,-80.9803,-1502.0,-0.155455,-0.047916,-1.63703,3.55834e-06,-120.008,-80.9648,-1502.0,7,2,11
146,63058366242488320,-114.879,-73.9269,-1502.0,-0.583132,-0.319379,-7.26593,8.84556e-06,-114.864,-73.926,-1502.0,7,2,11
147,171138366388043776,-68.0332,-66.3245,-1502.5,-0.417954,-0.448808,-9.72927,8.26504e-06,-68.0513,-66.3248,-1502.5,7,2,12
148,94577859917512704,-39.273,-42.888,-1502.5,-0.31089,-0.361763,-12.3373,7.47422e-06,-39.2505,-42.8931,-1502.5,7,2,12
149,220680230031851520,-50.4179,-51.6237,-1502.5,-0.623057,-0.664945,-18.9141,1.15582e-05,-50.4189,-51.6428,-1502.5,7,2,12
150,292738373825593344,-79.9123,-57.668,-1502.5,-0.687747,-0.529415,-13.3287,1.02404e-05,-79.8861,-57.6756,-1502.5,7,2,12
151,671038268623552512,-63.3573,-46.4784,-1502.5,-0.322751,-0.27104,-8.07963,5.67915e-06,-63.3585,-46.4529,-1502.5,7,2,12
152,774621197492027392,-62.8203,-52.9889,-1502.5,-0.222548,-0.14873,-4.92483,7.47422e-06,-62.8249,-52.9671,-1502.5,7,2,12
153,747600836678385664,-41.3307,-38.2081,-1502.5,-0.154405,-0.110589,-5.02833,7.47422e-06,-41.3207,-38.2173,-1502.5,7,2,12
154,914233885452140544,-44.631,-39.941,-1502.5,-0.284821,-0.232796,-9.09001,8.87338e-06,-44.6529,-39.9455,-1502.5,7,2,12
155,324262059388698624,-62.6665,-43.1477,-1502.5,-0.384697,-0.297847,-9.57173,5.36785e-06,-62.6569,-43.1577,-1502.5,7,2,12
156,941263179797757952,-62.8822,-49.2425,-1502.5,-0.148604,-0.152004,-3.95545,6.04963e-06,-62.8794,-49.2657,-1502.5,7,2,12
157,837670630202540032,-81.0935,-60.5838,-1502.5,-0.323616,-0.197172,-5.57674,6.96788e-06,-81.083,-60.6047,-1502.5,7,2,12
158,261209877899116544,-42.4216,-41.8731,-1502.5,-0.232051,-0.257731,-8.63011,8.87338e-06,-42.4274,-41.8584,-1502.5,7,2,12
159,743099092476887040,-42.8158,-39.2628,-1502.5,-0.337074,-0.28097,-11.4928,8.13311e-06,-42.8193,-39.2342,-1502.5,7,2,12
160,202663769938067456,-41.8264,-37.5371,-1502.5,-0.174017,-0.180219,-6.68508,6.45466e-06,-41.8299,-37.5344,-1502.5,7,2,12
161,657530836995801088,-69.2958,-59.2077,-1502.5,-0.442,-0.414776,-9.93739,8.1257e-06,-69.2919,-59.2138,-1502.5,7,2,12
162,373799524985995264,-54.275,-46.007,-1502.5,-0.350219,-0.32581,-10.0238,6.96788e-06,-54.2791,-45.9971,-1502.5,7,2,12
163,418835727418130432,-50.3572,-37.8209,-1502.5,-0.332255,-0.275714,-10.3767,8.13311e-06,-50.3567,-37.847,-1502.5,7,2,12
164,396317385683894272,-51.637,-35.8221,-1502.5,-1.00393,-0.668711,-28.8953,1.73104e-05,-51.6316,-35.8453,-1502.5,7,2,12
165,707073044236992512,-48.0473,-35.42,-1502.5,-0.2919,-0.238128,-9.56502,8.13311e-06,-48.0657,-35.43,-1502.5,7,2,12
166,716074608494641152,-92.5313,-71.2401,-1498.0,-0.193538,-0.100751,-2.72675,7.04869e-06,-92.5323,-71.2161,-1498.0,7,2,13
167,734105499678539776,-86.9367,-64.3987,-1498.0,-0.290116,-0.1727,-4.66454,6.19367e-06,-86.922,-64.4127,-1498.0,7,2,13
168,716074471055687680,-100.913,-89.0208,-1498.0,-0.894206,-0.727033,-12.7766,1.54493e-05,-100.916,-89.0314,-1498.0,7,2,13
169,671045003132272640,-80.5441,-67.9158,-1498.0,-0.351213,-0.248898,-6.08176,8.87338e-06,-80.5599,-67.9035,-1498.0,7,2,13
170,126102988589629440,-81.5411,-71.642,-1498.0,-0.125702,-0.157122,-2.81435,6.56826e-06,-81.5414,-71.6431,-1498.0,7,2,13
171,693555510846160896,-94.609,-87.1281,-1498.0,-0.47208,-0.489996,-7.94591,6.54998e-06,-94.6133,-87.1123,-1498.0,7,2,13
172,355784439281745920,-116.493,-98.2523,-1498.0,-2.53452,-2.19938,-32.9641,2.54699e-05,-116.498,-98.2661,-1498.0,7,2,13
173,90075222362816512,-95.4466,-88.3646,-1498.0,-0.365764,-0.390612,-6.16962,4.2754e-06,-95.4404,-88.384,-1498.0,7,2,13
174,63053830757023744,-81.5427,-69.0739,-1498.0,-5.10339,-4.3647,-94.048,4.06655e-05,-81.5474,-69.0484,-1498.0,7,2,13
175,0,-130.567,-104.772,-1498.0,-320269.0,-414379.0,-851891.0,0.0,-130.57,-104.773,-1498.0,7,2,13
176,0,-120.537,-103.498,-1498.0,244602.0,337208.0,-909099.0,0.0,-120.535,-103.503,-1498.0,7,2,13
177,968278867686981632,-99.326,-84.5284,-1498.0,-0.680899,-0.529393,-9.83129,1.18918e-05,-99.3222,-84.5233,-1498.0,7,2,13
178,153131527021002752,-85.5524,-72.663,-1498.0,-0.432455,-0.320911,-7.14952,9.38709e-06,-85.5679,-72.647,-1498.0,7,2,13
179,738591507119865856,-102.724,-88.0725,-1498.0,-0.292904,-0.199459,-3.86055,7.04869e-06,-102.736,-88.0728,-1498.0,7,2,13
180,657530768276324352,-41.2109,-56.3104,-1498.0,-0.173825,-0.19675,-5.62143,6.56826e-06,-41.2102,-56.2962,-1498.0,7,2,14
181,743099092476887040,-42.6833,-39.1525,-1498.0,-0.339821,-0.282553,-11.4935,7.04869e-06,-42.6709,-39.1443,-1498.0,7,2,14
182,941254108826828800,-34.4952,-52.3011,-1498.0,-0.273101,-0.378586,-11.1637,6.19367e-06,-34.4975,-52.2861,-1498.0,7,2,14
183,261209877899116544,-42.3003,-41.7389,-1498.0,-0.232666,-0.256798,-8.63058,7.55881e-06,-42.3206,-41.7367,-1498.0,7,2,14
184,94577859917512704,-39.1598,-42.7557,-1498.0,-0.309571,-0.36404,-12.3387,6.56826e-06,-39.1611,-42.7338,-1498.0,7,2,14
