event,particle_id,hit_id,layer,wedge_id,module_id,x,y,z,tpx,tpy,tpz,phi
1000,4504424261091328,42988,4,59,544,-16.8383,4.07262,-5.39314,-1.67487,0.353363,-0.52977,166.403
1000,4504561700044800,19547,1,85,99,-1.54096,-2.80232,-1.21578,-0.233113,-0.443306,-0.188717,241.194
1000,4504561700044800,28591,2,86,198,-3.33285,-6.3986,-2.7329,-0.211802,-0.453091,-0.189142,242.486
1000,4504561700044800,35904,3,86,322,-5.11388,-10.5012,-4.41339,-0.186957,-0.464004,-0.187468,244.035
1000,4504561700044800,42466,4,87,483,-7.01663,-15.7754,-6.50571,-0.153463,-0.475809,-0.186862,246.021
1000,4504767858475008,17488,1,37,61,-0.879439,3.02308,-21.0983,-0.249213,0.821767,-5.75467,106.22
1000,4505248894812160,19138,1,57,96,-3.09077,1.0311,-12.0239,-0.997054,0.322219,-3.86787,161.551
1000,4505248894812160,27012,2,57,127,-6.84837,2.19625,-26.5425,-1.00418,0.298391,-3.86717,162.219
1000,4505317614288896,20807,1,26,108,0.866952,3.14962,-6.15415,0.879921,3.15766,-6.16769,74.6101
1000,4505317614288896,28205,2,26,183,1.92438,6.89072,-13.4644,0.902834,3.15223,-6.1666,74.3965
1000,4505317614288896,34484,3,26,193,3.14745,11.0993,-21.699,0.928383,3.14714,-6.1648,74.1682
1000,4505317614288896,40854,4,26,211,4.76306,16.466,-32.226,0.961528,3.13751,-6.16413,73.8666
1000,4505317614288896,40857,4,26,212,4.82019,16.6533,-32.5937,0.962746,3.13751,-6.16386,73.8573
1000,4505386333765632,20670,1,24,107,1.18876,2.97204,-5.39511,0.704655,1.73342,-3.14885,68.1995
1000,4505386333765632,20722,1,24,108,1.25156,3.12792,-5.6766,0.705614,1.73292,-3.14887,68.1924
1000,4505386333765632,28177,2,24,182,2.68485,6.58305,-11.9776,0.727194,1.72285,-3.14895,67.8123
1000,4505386333765632,28217,2,24,183,2.75969,6.76061,-12.3016,0.727124,1.72288,-3.1489,67.7947
1000,4505386333765632,34960,3,23,244,4.45237,10.6935,-19.512,0.750616,1.71279,-3.14813,67.395
1000,4505386333765632,34960,3,24,244,4.45237,10.6935,-19.512,0.750616,1.71279,-3.14813,67.395
1000,4505386333765632,40849,4,23,210,6.76672,15.8426,-29.032,0.78036,1.69555,-3.14931,66.8716
1000,4505455053242368,28146,2,12,180,5.8955,4.23067,-12.4981,0.905921,0.676219,-1.94506,35.6636
1000,4505455053242368,34923,3,12,240,9.40596,6.924,-20.1276,0.887725,0.696967,-1.94548,36.3579
1000,4505455053242368,40806,4,13,203,13.6482,10.3581,-29.5374,0.865816,0.722687,-1.9452,37.1961
1000,4505455053242368,40817,4,13,204,13.7924,10.4781,-29.8612,0.865516,0.723714,-1.9449,37.224
1000,4505523772719104,18843,1,25,91,1.05738,2.98039,-8.867,0.121117,0.315292,-0.946548,70.4664
1000,4505523772719104,18889,1,25,92,1.09651,3.08708,-9.18453,0.122261,0.315338,-0.946345,70.4453
1000,4505523772719104,27452,2,24,150,2.62333,6.65829,-20.0418,0.143874,0.306271,-0.94568,68.4958
1000,4505523772719104,27473,2,24,151,2.69954,6.82009,-20.5427,0.144557,0.306325,-0.945505,68.4053
1000,4505523772719104,34055,3,23,140,4.70404,10.6203,-32.5424,0.169086,0.292807,-0.945165,66.1101
1000,4505523772719104,40130,4,22,53,7.76729,15.3369,-48.2521,0.19879,0.273928,-0.944345,63.1403
1000,4505661211672576,20447,1,10,106,2.80409,1.65446,-6.17473,1.87274,1.09261,-4.10643,30.5413
1000,4505661211672576,28102,2,10,179,6.17046,3.59765,-13.5401,1.88226,1.07281,-4.10669,30.2441
1000,4505661211672576,34435,3,10,187,10.069,5.78771,-22.0166,1.89579,1.04809,-4.10623,29.8905
1000,4505661211672576,40800,4,10,202,15.0221,8.47844,-32.6934,1.91218,1.01912,-4.10447,29.4403
1000,4505729931149312,18718,1,9,89,2.85184,1.36921,-7.34739,2.68796,1.27796,-6.90401,25.6463
1000,4505729931149312,18789,1,9,90,2.95176,1.41481,-7.60354,2.68828,1.27731,-6.90396,25.6089
1000,4505729931149312,27370,2,8,147,6.58189,3.11834,-16.9028,2.69876,1.25309,-6.90359,25.3505
1000,4505729931149312,27370,2,9,147,6.58189,3.11834,-16.9028,2.69876,1.25309,-6.90359,25.3505
1000,4505729931149312,34420,3,8,186,10.4616,4.8989,-26.8065,2.70958,1.22957,-6.90294,25.0925
1000,4505729931149312,40407,4,8,123,15.6204,7.20567,-39.9095,2.72406,1.19995,-6.90152,24.7638
1000,4505798650626048,19428,1,77,98,-2.51364,-1.97963,-2.66578,-0.986383,-0.764421,-1.03623,218.222
1000,4505798650626048,28547,2,77,196,-5.74252,-4.43862,-6.03014,-1.00052,-0.746655,-1.03481,217.702
1000,4505798650626048,35183,3,77,266,-9.2543,-7.00124,-9.62638,-1.01674,-0.726076,-1.03279,217.109
1000,4505798650626048,41395,4,76,320,-13.8223,-10.1689,-14.2272,-1.03533,-0.697784,-1.03305,216.341
1000,4505798650626048,41395,4,77,320,-13.8223,-10.1689,-14.2272,-1.03533,-0.697784,-1.03305,216.341
1000,4505867370102784,19444,1,79,98,-2.27226,-2.24987,-1.50923,-0.657862,-0.665314,-0.439223,224.716
1000,4505867370102784,19516,1,79,99,-2.4055,-2.38572,-1.59843,-0.656346,-0.6667,-0.439229,224.763
1000,4505867370102784,28550,2,80,196,-5.01717,-5.1057,-3.36816,-0.639695,-0.682134,-0.438994,225.501
1000,4505867370102784,28558,2,80,197,-5.14528,-5.24271,-3.45611,-0.638988,-0.682822,-0.438856,225.537
1000,4505867370102784,35858,3,80,319,-7.99932,-8.38637,-5.45119,-0.618893,-0.699869,-0.439661,226.353
1000,4505867370102784,41852,4,80,401,-11.664,-12.6736,-8.11866,-0.593483,-0.720255,-0.44069,227.375
1000,4505936089579520,19235,1,73,97,-2.88767,-1.41673,-0.257188,-2.06864,-1.00345,-0.177512,206.133
1000,4505936089579520,19456,1,73,98,-2.97874,-1.45893,-0.262812,-2.06904,-1.00248,-0.177762,206.095
1000,4505936089579520,28511,2,73,195,-6.54869,-3.16378,-0.572187,-2.07884,-0.980319,-0.17994,205.786
1000,4505936089579520,35815,3,72,316,-10.4689,-4.98022,-0.914451,-2.0902,-0.954413,-0.181087,205.441
1000,4505936089579520,35815,3,73,316,-10.4689,-4.98022,-0.914451,-2.0902,-0.954413,-0.181087,205.441
1000,4505936089579520,42405,4,72,474,-15.6248,-7.28897,-1.35673,-2.10347,-0.923812,-0.180449,205.009
1000,4506004809056256,19873,1,110,102,2.10071,-2.40549,-5.99905,0.184568,-0.196178,-0.506005,311.131
1000,4506004809056256,27936,2,111,172,4.91346,-5.15307,-13.3233,0.202422,-0.181916,-0.503648,313.636
1000,4506004809056256,34347,3,112,176,8.40274,-7.89527,-21.57,0.220858,-0.156138,-0.504012,316.783
1000,4506004809056256,40728,4,113,187,13.3293,-10.9158,-32.2781,0.239543,-0.126036,-0.503299,320.685
1000,4506004809056256,40728,4,114,187,13.3293,-10.9158,-32.2781,0.239543,-0.126036,-0.503299,320.685
1000,4506073528532992,20788,1,25,108,1.03495,3.14014,-2.41379,0.0940072,0.253039,-0.194762,71.7584
1000,4506073528532992,29232,2,24,215,2.60697,6.83451,-5.34837,0.116423,0.241658,-0.19626,69.121
1000,4506073528532992,35548,3,23,296,4.65836,10.582,-8.45082,0.139814,0.228947,-0.195255,66.2402
1000,4506073528532992,42158,4,22,443,7.97932,15.2085,-12.6162,0.1691,0.206303,-0.196029,62.3157
1000,4506348406439936,18339,1,83,83,-1.7693,-2.63733,-12.1277,-0.231636,-0.362868,-1.64351,236.144
1000,4506348406439936,26353,2,84,70,-3.893,-6.19357,-27.9611,-0.209678,-0.375367,-1.64304,237.848
1000,4506348406439936,26666,2,84,102,-3.86874,-6.14973,-27.7664,-0.209953,-0.374975,-1.64314,237.826
1000,4506417125916672,19468,1,85,99,-1.56473,-2.79087,-4.62635,-1.52607,-2.70392,-4.48011,240.722
1000,4506417125916672,27791,2,85,166,-3.54467,-6.26834,-10.3996,-1.5466,-2.69247,-4.47945,240.512
1000,4506417142702082,27779,2,85,166,-3.54473,-6.26832,-10.3991,-0.182466,-0.183577,0.0626132,240.512
1000,4506417142702082,35210,3,82,268,-6.86318,-9.27097,-9.34009,-0.200581,-0.163562,0.0601101,233.488
1000,4506417142702082,35210,3,83,268,-6.86318,-9.27097,-9.34009,-0.200581,-0.163562,0.0601101,233.488
1000,4506417142702082,41847,4,80,401,-11.6374,-12.6912,-7.96228,-0.219327,-0.135968,0.0605471,227.48
1000,4506485845393408,21536,1,71,113,-2.9261,-1.15682,1.29307,-0.25202,-0.109363,0.115466,201.571
1000,4506485845393408,21593,1,71,114,-3.11103,-1.2365,1.37764,-0.251249,-0.111001,0.115383,201.676
1000,4506485845393408,29690,2,72,227,-6.62768,-2.97172,2.97621,-0.240936,-0.132923,0.11263,204.151
1000,4506485845393408,36689,3,73,368,-10.2701,-5.2024,4.71636,-0.227246,-0.154281,0.112477,206.865
1000,4506485845393408,43071,4,74,553,-14.7616,-8.73124,7.08365,-0.204508,-0.181352,0.113015,210.604
1000,4506485845393408,43693,4,74,631,-14.7985,-8.76446,7.10399,-0.204137,-0.182097,0.112382,210.636
1000,4506554564870144,22718,1,20,123,1.66665,2.6868,1.79542,0.342942,0.534477,0.363198,58.1882
1000,4506554564870144,30254,2,20,245,3.85302,5.9721,4.06221,0.360382,0.520584,0.36431,57.1711
1000,4506554564870144,30287,2,20,246,3.95468,6.11827,4.1647,0.361706,0.519783,0.364063,57.1225
1000,4506554564870144,37101,3,19,398,6.42297,9.5257,6.58719,0.381321,0.50462,0.363377,56.0091
1000,4506554564870144,37128,3,19,399,6.53427,9.67238,6.69297,0.381895,0.504256,0.3632,55.9586
1000,4506554564870144,43972,4,19,675,9.94951,13.9903,9.85707,0.405121,0.48518,0.363058,54.5806
1000,4506623284346880,19583,1,86,99,-1.3803,-2.87974,-0.325187,-0.208888,-0.456459,-0.0503038,244.391
1000,4506623284346880,28613,2,87,198,-2.95208,-6.53797,-0.72714,-0.187206,-0.465,-0.0511064,245.699
1000,4506623284346880,35910,3,87,322,-4.49581,-10.6808,-1.17969,-0.161928,-0.473785,-0.0514028,247.173
1000,4506623284346880,42462,4,88,483,-6.11274,-16.0185,-1.75906,-0.129048,-0.481811,-0.0519663,249.113
1000,4506623284346880,42479,4,88,484,-6.16316,-16.208,-1.77834,-0.128561,-0.481949,-0.0514002,249.18
1000,4506692003823616,18022,1,38,77,-0.987221,3.03784,-17.6302,-0.258692,0.763768,-4.44804,108.003
1000,4506829442777088,18439,1,98,85,0.440634,-3.1765,-7.85107,0.103321,-0.679777,-1.68187,277.897
1000,4506829442777088,27207,2,99,137,1.11987,-7.09026,-17.5088,0.129886,-0.679177,-1.67943,278.975
1000,4506829442777088,33901,3,99,119,2.03844,-11.4536,-28.3623,0.155231,-0.672173,-1.67953,280.091
1000,4506829442777088,40020,4,100,23,3.46423,-16.9885,-42.3259,0.188026,-0.661368,-1.67981,281.526
1000,4506829442777088,40311,4,99,100,3.39751,-16.7531,-41.7264,0.186562,-0.661531,-1.67998,281.464
1000,4506829442777088,40311,4,100,100,3.39751,-16.7531,-41.7264,0.186562,-0.661531,-1.67998,281.464
1000,4506898162253824,19127,1,52,95,-2.67204,1.69727,-7.26832,-0.410107,0.271792,-1.12858,147.576
1000,4506898162253824,27571,2,51,157,-5.94887,3.98629,-16.4398,-0.395712,0.291687,-1.1281,146.174
1000,4506898162253824,27603,2,51,158,-6.11456,4.10888,-16.9129,-0.395512,0.292579,-1.12787,146.1
1000,4506898162253824,34571,3,51,203,-9.38586,6.66463,-26.454,-0.379194,0.311387,-1.1277,144.623
1000,4506898162253824,40525,4,50,148,-13.5811,10.4047,-39.3664,-0.355218,0.339257,-1.12684,142.544
1000,4506966881730560,24518,1,58,144,-3.15218,0.821514,9.30354,-0.228808,0.0709322,0.682882,165.393
1000,4506966881730560,31972,2,57,319,-6.85713,2.14004,20.3346,-0.225449,0.0928554,0.680827,162.667
1000,4506966881730560,39328,3,56,621,-10.7829,3.96756,32.4151,-0.215977,0.11428,0.679977,159.799
1000,4506966881730560,39338,3,56,622,-10.9506,4.05673,32.9442,-0.21509,0.115077,0.680078,159.672
1000,4506966881730560,46031,4,55,1087,-15.6309,6.99769,48.2516,-0.199024,0.144196,0.67887,155.883
1000,4507035601207296,24799,1,121,152,3.09156,-1.01702,16.981,0.61232,-0.191904,3.34739,341.791
1000,4507241759637504,21602,1,74,114,-2.77895,-1.60828,2.45274,-0.604855,-0.33919,0.531772,210.06
1000,4507241759637504,29704,2,74,227,-6.25657,-3.47977,5.48228,-0.615631,-0.318189,0.530385,209.082
1000,4507241759637504,37432,3,73,420,-10.1978,-5.40972,8.84699,-0.626738,-0.292043,0.531221,207.945
1000,4507241759637504,37460,3,73,421,-10.3744,-5.49139,8.99605,-0.627427,-0.290409,0.531237,207.893
1000,4507241759637504,43688,4,73,630,-15.3698,-7.67559,13.1623,-0.640394,-0.262952,0.52839,206.537
1000,4507310479114240,23189,1,45,126,-1.90238,2.51626,2.95538,-0.706514,0.917767,1.08864,127.091
1000,4507310479114240,30529,2,45,252,-4.40102,5.71027,6.77411,-0.722243,0.903518,1.08951,127.622
1000,4507310479114240,37984,3,45,461,-7.18862,9.131,10.9322,-0.740303,0.888001,1.08939,128.213
1000,4507310479114240,44590,4,45,769,-10.7682,13.2809,16.0831,-0.76745,0.864283,1.08684,129.035
1000,4507310479114240,44603,4,45,770,-10.9002,13.4294,16.2703,-0.768436,0.863727,1.08652,129.065
1000,4507379198590976,23014,1,40,125,-1.32201,2.86834,4.51467,-0.167516,0.341719,0.544079,114.745
1000,4507379198590976,31323,2,41,283,-3.24304,6.4908,10.3658,-0.189444,0.330554,0.54301,116.548
1000,4507379198590976,38455,3,42,512,-5.56888,10.2473,16.6814,-0.21132,0.315466,0.542953,118.522
1000,4507379198590976,45011,4,42,846,-8.90871,14.8109,24.805,-0.236377,0.294304,0.543096,121.027
1000,4507379198590976,45011,4,43,846,-8.90871,14.8109,24.805,-0.236377,0.294304,0.543096,121.027
1000,4507447918067712,20954,1,35,109,-0.536762,3.19534,-0.682498,-0.72346,4.36615,-0.922848,99.5357
1000,4507447918067712,29282,2,35,217,-1.1714,7.07775,-1.50226,-0.701683,4.36887,-0.92125,99.3975
1000,4507447918067712,36426,3,35,353,-1.86932,11.5098,-2.43666,-0.675089,4.37231,-0.921686,99.2249
1000,4507447918067712,42851,4,35,529,-2.69743,17.0223,-3.59553,-0.641188,4.37717,-0.920142,99.0045
1000,4507516637544448,21043,1,41,110,-1.48294,2.95729,-0.821724,-0.962207,1.89924,-0.524687,116.632
1000,4507516637544448,29370,2,41,219,-3.28111,6.46299,-1.79177,-0.98175,1.8887,-0.524276,116.916
1000,4507516637544448,36468,3,41,355,-5.29282,10.2716,-2.84854,-1.00552,1.87627,-0.522008,117.261
1000,4507516637544448,36477,3,41,356,-5.39145,10.4558,-2.89983,-1.0068,1.87556,-0.521919,117.278
1000,4507516637544448,42889,4,41,533,-8.00973,15.2485,-4.24296,-1.0348,1.85933,-0.522947,117.712
1000,4507585357021184,20971,1,36,109,-0.73938,3.1245,-0.661709,-1.93761,8.24005,-1.72493,103.314
1000,4507585357021184,29332,2,36,218,-1.67138,7.11157,-1.49577,-1.9145,8.24515,-1.72376,103.226
1000,4507585357021184,36413,3,36,353,-2.62836,11.2572,-2.36226,-1.89113,8.24985,-1.72392,103.142
1000,4507585357021184,42860,4,36,530,-3.89177,16.817,-3.52474,-1.85879,8.25616,-1.72655,103.03
1000,4507654076497920,20698,1,32,108,-0.143913,3.20664,-0.450589,-0.0533277,0.977319,-0.135995,92.5697
1000,4507654076497920,20872,1,32,109,-0.152573,3.32967,-0.467851,-0.0537262,0.977225,-0.136116,92.6236
1000,4507654076497920,29302,2,33,217,-0.41915,7.26038,-1.01864,-0.0780858,0.974914,-0.136587,93.3041
1000,4507654076497920,36400,3,33,352,-0.821722,11.5794,-1.62847,-0.102726,0.971935,-0.137275,94.0591
1000,4507654076497920,42832,4,33,528,-1.50838,17.1417,-2.42159,-0.136147,0.966989,-0.138044,95.0288
1000,4507722795974656,20863,1,36,109,-0.658222,3.15287,-1.01904,-1.21815,5.88873,-1.88821,101.792
1000,4507722795974656,29288,2,36,217,-1.44684,7.01087,-2.25463,-1.19325,5.89359,-1.88665,101.66
1000,4507722795974656,29349,2,36,218,-1.48496,7.19809,-2.31416,-1.19211,5.89383,-1.88645,101.657
1000,4507722795974656,36417,3,36,353,-2.31777,11.3606,-3.64582,-1.16778,5.89801,-1.88507,101.531
1000,4507722795974656,42852,4,35,529,-3.38069,16.8101,-5.38649,-1.1342,5.90252,-1.88399,101.371
1000,4507722795974656,42852,4,36,529,-3.38069,16.8101,-5.38649,-1.1342,5.90252,-1.88399,101.371
1000,4507722795974656,42854,4,35,530,-3.4186,17.0069,-5.44909,-1.13304,5.90264,-1.88412,101.366
1000,4507722795974656,42854,4,36,530,-3.4186,17.0069,-5.44909,-1.13304,5.90264,-1.88412,101.366
1000,4507791515451392,20945,1,40,109,-1.25623,2.94379,-0.0884377,-1.26885,2.95548,-0.0811648,113.11
1000,4507791515451392,21116,1,40,110,-1.3217,3.10131,-0.0940624,-1.27016,2.95473,-0.0811144,113.082
1000,4507791515451392,23112,1,40,125,-1.23583,2.89847,-0.0859375,-1.26885,2.95551,-0.0813249,113.092
1000,4507791515451392,23153,1,40,126,-1.30117,3.05326,-0.0915627,-1.2696,2.95511,-0.081262,113.082
1000,4507791515451392,29324,2,40,218,-2.82965,6.57401,-0.184063,-1.29079,2.94444,-0.0790608,113.288
1000,4507791515451392,29372,2,40,219,-2.90195,6.73995,-0.189688,-1.29294,2.94342,-0.0791452,113.295
1000,4507791515451392,36463,3,40,355,-4.64977,10.6774,-0.296563,-1.31492,2.93256,-0.0780054,113.532
1000,4507791515451392,42880,4,40,532,-6.9505,15.7267,-0.425938,-1.34714,2.91742,-0.0763743,113.843
1000,4507860234928128,20750,1,27,108,0.692666,3.15945,-1.11172,0.243,1.06277,-0.371778,77.6343
1000,4507860234928128,29203,2,27,215,1.61999,6.98824,-2.45374,0.267909,1.05634,-0.371493,76.9484
1000,4507860234928128,36340,3,27,349,2.7453,11.2152,-3.946,0.292597,1.04913,-0.371485,76.2454
1000,4507860234928128,36365,3,27,350,2.79832,11.4056,-4.01368,0.29395,1.04794,-0.371751,76.215
1000,4507860234928128,42799,4,26,524,4.38058,16.6981,-5.89532,0.327421,1.03786,-0.370319,75.3003
1000,4507928954404864,22584,1,16,122,2.1241,2.34142,4.16301,0.184056,0.216469,0.374332,47.7862
1000,4507928954404864,22701,1,17,123,2.19817,2.43067,4.31594,0.182995,0.217434,0.374238,47.8755
1000,4507928954404864,31172,2,17,277,4.63725,5.55225,9.58991,0.164001,0.229932,0.374848,50.1313
1000,4507928954404864,38364,3,18,502,7.00063,9.19144,15.364,0.142553,0.243084,0.374454,52.7054
1000,4507928954404864,44935,4,19,832,9.56685,14.3957,23.1297,0.108026,0.257899,0.375484,56.3935
1000,4507928954404864,44935,4,20,832,9.56685,14.3957,23.1297,0.108026,0.257899,0.375484,56.3935
1000,4507997673881600,23016,1,37,125,-0.824378,3.04233,1.46718,-0.156578,0.614491,0.297548,105.161
1000,4507997673881600,30456,2,36,250,-1.75302,7.0191,3.36412,-0.132996,0.620822,0.294394,104.023
1000,4507997673881600,30456,2,37,250,-1.75302,7.0191,3.36412,-0.132996,0.620822,0.294394,104.023
1000,4507997673881600,37229,3,36,405,-2.57562,11.2226,5.3578,-0.109425,0.624367,0.295276,102.926
1000,4507997673881600,44050,4,35,685,-3.40419,16.8028,8.00883,-0.0760094,0.627384,0.297789,101.453
1000,4507997673881600,44050,4,36,685,-3.40419,16.8028,8.00883,-0.0760094,0.627384,0.297789,101.453
1000,4507997673881600,44053,4,35,686,-3.42861,17.0028,8.10318,-0.0748578,0.627733,0.297252,101.401
1000,4507997673881600,44053,4,36,686,-3.42861,17.0028,8.10318,-0.0748578,0.627733,0.297252,101.401
1000,4508066393358336,20021,1,118,103,2.85922,-1.42289,-1.2195,3.97155,-1.98795,-1.68245,333.543
1000,4508066393358336,28864,2,118,206,6.43762,-3.22624,-2.73859,3.95947,-2.00975,-1.68361,333.382
1000,4508066393358336,36101,3,118,335,10.4532,-5.27889,-4.44918,3.94615,-2.03219,-1.68452,333.206
1000,4508066393358336,42611,4,118,502,15.4137,-7.8583,-6.57551,3.92856,-2.06199,-1.68795,332.986
1000,4508135112835072,18482,1,99,85,0.53588,-3.1432,-9.123,0.185148,-1.02808,-2.98628,279.675
1000,4508135112835072,26735,2,99,106,1.32549,-7.21752,-20.9717,0.210678,-1.02328,-2.98515,280.406
1000,4508135112835072,27201,2,99,137,1.28828,-7.04937,-20.4979,0.209488,-1.0234,-2.98524,280.357
1000,4508135112835072,33899,3,99,119,2.2292,-11.3901,-33.2119,0.234372,-1.0157,-2.98508,281.074
1000,4508135112835072,40017,4,100,22,3.5551,-16.756,-49.0467,0.266344,-1.00731,-2.98466,281.979
1000,4508203832311808,18488,1,99,85,0.603336,-3.11961,-6.94553,0.968959,-5.0539,-11.2314,280.946
1000,4508203832311808,19803,1,99,101,0.612792,-3.16876,-7.0541,0.968834,-5.05389,-11.2313,280.945
1000,4508203832311808,27197,2,99,137,1.3445,-7.03572,-15.6412,0.94527,-5.05972,-11.2302,280.819
1000,4508203832311808,27231,2,99,138,1.38372,-7.24508,-16.1058,0.944042,-5.05991,-11.2302,280.813
1000,4508203832311808,34307,3,99,171,2.14136,-11.3671,-25.249,0.91896,-5.06476,-11.2294,280.668
1000,4508203832311808,40309,4,99,100,3.11576,-16.8406,-37.3837,0.885521,-5.06886,-11.2295,280.482
1000,4508272551788544,18402,1,96,84,0.113731,-3.15535,-8.10073,0.0435771,-0.931094,-2.38935,272.064
1000,4508272551788544,18457,1,96,85,0.120739,-3.28835,-8.44189,0.0437754,-0.931082,-2.38931,272.103
1000,4508272551788544,27211,2,96,137,0.357738,-7.27529,-18.7006,0.0673534,-0.92711,-2.38973,272.815
1000,4508272551788544,27211,2,97,137,0.357738,-7.27529,-18.7006,0.0673534,-0.92711,-2.38973,272.815
1000,4508272551788544,33891,3,97,118,0.728486,-11.5984,-29.8422,0.0928407,-0.92584,-2.38866,273.594
1000,4508272551788544,40012,4,97,21,1.38317,-17.1698,-44.2908,0.124621,-0.919056,-2.38908,274.606
1000,4508341271265280,18424,1,93,84,-0.397515,-3.12651,-7.73914,-0.0997623,-0.715007,-1.77174,262.754
1000,4508341271265280,27191,2,93,136,-1.03337,-7.20382,-17.8575,-0.123416,-0.711651,-1.77111,261.837
1000,4508341271265280,33885,3,92,116,-1.83599,-11.4453,-28.4058,-0.14814,-0.709226,-1.76953,260.887
1000,4508341271265280,40002,4,92,18,-3.13521,-16.9941,-42.3076,-0.182097,-0.702037,-1.76811,259.547
1000,4508409990742016,21161,1,55,111,-2.90804,1.32159,-0.677847,-0.430577,0.206204,-0.101381,155.56
1000,4508409990742016,21345,1,55,112,-3.11828,1.42248,-0.727386,-0.42992,0.20731,-0.10171,155.479
1000,4508409990742016,29473,2,54,222,-6.46542,3.15027,-1.53174,-0.418157,0.228715,-0.10179,154.022
1000,4508409990742016,36532,3,54,360,-10.235,5.34328,-2.46186,-0.405208,0.249927,-0.101794,152.433
1000,4508409990742016,36551,3,54,361,-10.404,5.44803,-2.50454,-0.404858,0.250406,-0.101621,152.361
